#,   VM Name,                                       Annot,   numCPU,   memoryMB,Provisioned,    Used,               Remaining
1,   ADS-NS5,                                       Addit,   1,        4096,    58183437065,    2428504841,         95.8 %
2,   CS- Jon-Workstation,                           ,        1,        4096,    80370177427,    80370177427,        0 %
3,   CS-DR-TEST01,                                  ,        1,        4096,    80457902898,    80457902898,        0 %
4,   CS-DR-TEST02,                                  ,        1,        4096,    80424584697,    80424584697,        0 %
5,   EACS-GitLab-01,                                ,        2,        8192,    433908737585,   22405572145,        94.8 %
6,   EAG-PFSENSE-ADS-DR-01,                         ,        2,        4096,    23738018917,    7963241573,         66.5 %
7,   EAG-PFSENSE-ADS-DR-02,                         ,        2,        4096,    23738046493,    7963269149,         66.5 %
8,   EAG-PFSENSE-EACS-DR-01,                        ,        2,        4096,    23739896599,    7965119255,         66.4 %
9,   EAG-PFSENSE-EACS-DR-02,                        ,        2,        4096,    23739885525,    7965108181,         66.4 %
10,  EAG-PFSENSE-JUD-DR-01,                         ,        2,        2048,    21591211258,    5833211130,         73.0 %
11,  EAG-PFSENSE-JUD-DR-02,                         ,        2,        2048,    21591115655,    5833115527,         73.0 %
12,  EAG-TST-PH-insurgent,                          ,        1,        2048,    19445184681,    6564477097,         66.2 %
13,  EAG-pfSense-ERP-DR-01,                         ,        2,        4096,    23739779198,    7889504382,         66.8 %
14,  EAG-pfSense-ERP-DR-02,                         ,        2,        4096,    23739672842,    7889398026,         66.8 %
15,  ERP-BIGIPVEDR01,                               ,        2,        8192,    116154612043,   75499851,           99.9 %
16,  ERP-BIGIPVEDR02,                               ,        2,        8192,    116154612077,   75499885,           99.9 %
17,  ERP-CORR-DR,                                   ,        2,        8192,    94679775458,    37751010,           100.0 %
18,  ERP-CPALISSON-DR,                              ,        2,        8192,    94679775478,    37751030,           100.0 %
19,  ERP-DBFMDR01,                                  ,        4,        36864,   2070368952870,  591401510,          100.0 %
20,  ERP-DNS07,                                     ,        2,        4096,    1164126632683,  75963042539,        93.5 %
21,  ERP-DNS08,                                     ,        2,        4096,    90384808291,    75837213027,        16.1 %
22,  ERP-DRRECCAT,                                  ,        2,        4096,    8907879347877,  20597962405,        99.8 %
23,  ERP-ES-DR01,                                   ,        2,        32768,   335197944185,   75499897,           100.0 %
24,  ERP-FMDRAPP01,                                 ,        8,        12288,   207397833879,   194309782679,       6.3 %
25,  ERP-FMDRAPP02,                                 ,        8,        12288,   144994720636,   131906669436,       9.0 %
